Residues ID,SEPA Site,Submitted By,Licence Active at Report,Treatment Name,Active Ingredient,Sample Date,100 m Replicate 1 mg per kg,100 m Replicate 2 mg per kg,100 m Replicate 3 mg per kg,Site Name,Licence Holder,Receiving Water,Easting,Northing,Local Authority,National Grid Reference,Lat ,Long
46438,ERI3,Marine Harvest (Scotland) Ltd,CAR/L/1004085,Slice,Emamectin Benzoate,12-Jul-16,1.29,1.35,1.02,"Erisort, North Shore West",Marine Harvest (Scotland) Ltd,Loch Erisort,139089,922756,Eilean Siar,NB39092276,58.116604,-6.4319483
46445,FFMC21,Scottish Sea Farms Ltd,CAR/L/1008860,Slice,Emamectin Benzoate,30-Jun-16,11.54,11.44,11.31,Spelve A (Balure),Scottish Sea Farms Ltd,Loch Spelve,167675,726641,Argyll and Bute,NM67672664,56.374802,-5.7641766
46437,FFMC57,Scottish Sea Farms Ltd,CAR/L/1003494,Slice,Emamectin Benzoate,24-May-16,1.3,1.16,1.02,Fishnish B,Scottish Sea Farms Ltd,Sound of Mull,165200,742750,Argyll and Bute,NM65204275,56.517994,-5.8185556
46442,FFMC01,Scottish Sea Farms Ltd,CAR/L/1010606,Slice,Emamectin Benzoate,24-May-16,1.24,0.91,0.83,Scallastle Bay,Scottish Sea Farms Ltd,Sound of Mull,168900,739700,Argyll and Bute,NM68903970,56.492484,-5.7558472
47532,CAG1,Marine Harvest (Scotland) Ltd,CAR/L/1009965,Slice,Emamectin Benzoate,15-Feb-16,1.07,0.83,1.27,Camus Glas,Marine Harvest (Scotland) Ltd,Loch Sunart,164550,758950,Highland,NM64555895,56.662881,-5.843829
47536,INV1,Marine Harvest (Scotland) Ltd,CAR/L/1009162,Slice,Emamectin Benzoate,10-Feb-16,1.08,1.03,1.18,Invasion Bay,Marine Harvest (Scotland) Ltd,Loch Sunart,173310,761020,Highland,NM73316102,56.685765,-5.7030449
47624,NEPL1,Grieg Seafood Shetland Ltd,CAR/L/1108670,Slice,Emamectin Benzoate,04-Feb-16,2.08,0.9,1.6,East of Papa Little,Grieg Seafood Shetland Ltd,Swarbacks Minn,434220,1162480,Shetland Islands,HU34226248,60.344913,-1.3818581
47623,OLNA1,Grieg Seafood Shetland Ltd,CAR/L/1004042,Slice,Emamectin Benzoate,04-Feb-16,0.94,1.1,1.31,Olnafirth South (Site 1),Grieg Seafood Shetland Ltd,Olnafirth,437400,1164300,Shetland Islands,HU37406430,60.360973,-1.3239129
47528,SRO1,Marine Harvest (Scotland) Ltd,CAR/L/1002327,Slice,Emamectin Benzoate,04-Feb-16,0.74,2.09,1.13,Sron,Marine Harvest (Scotland) Ltd,Loch Alsh,178400,825350,Highland,NG78402535,57.264926,-5.6765909
47527,SRO1,Marine Harvest (Scotland) Ltd,CAR/L/1002327,Slice,Emamectin Benzoate,04-Feb-16,1.33,1.18,1.48,Sron,Marine Harvest (Scotland) Ltd,Loch Alsh,178400,825350,Highland,NG78402535,57.264926,-5.6765909
47529,DUI1,Marine Harvest (Scotland) Ltd,CAR/L/1010433,Slice,Emamectin Benzoate,03-Feb-16,6.7,4.73,7.47,Duich,Marine Harvest (Scotland) Ltd,Loch Duich,189090,823350,Highland,NG89172320,57.250742,-5.4965442
47517,FFMC34,Marine Harvest (Scotland) Ltd,CAR/L/1000800,Slice,Emamectin Benzoate,18-Jan-16,1.04,0.82,1.08,Poll na Gille,Marine Harvest (Scotland) Ltd,Sound of Jura,177670,708214,Argyll and Bute,NM77670821,56.214355,-5.5870622
47519,FFMC55,Marine Harvest (Scotland) Ltd,CAR/L/1000810,Slice,Emamectin Benzoate,18-Jan-16,2.73,3.36,3.04,Port na Cro,Marine Harvest (Scotland) Ltd,Shuna Sound,176100,709400,Argyll and Bute,NM76100940,56.224289,-5.6133299
47515,AAC3,Scottish Sea Farms Ltd,CAR/L/1004062,Slice,Emamectin Benzoate,08-Jan-16,0.77,0.92,0.95,Allt a Chois (Kishorn North Shore),Scottish Sea Farms Ltd,Loch Kishorn,179250,837950,Highland,NG79253795,57.378288,-5.6737951
47613,MAOB1,Marine Harvest (Scotland) Ltd,CAR/L/1009643,Slice,Emamectin Benzoate,02-Dec-15,1.33,1.79,1.16,Maol Ban,Marine Harvest (Scotland) Ltd,Inner Sound,156400,830800,Highland,NG56403080,57.302574,-6.0458082
47610,FFMC33,Kames Fish Farming Ltd,CAR/L/1000801,Slice,Emamectin Benzoate,30-Nov-15,1.34,1.31,1.39,Shuna Castle Bay,Kames Fish Farming Ltd,Sound of Jura,177407,709600,Argyll and Bute,NM77410960,56.226697,-5.5924132
47556,CLI4,Grieg Seafood Shetland Ltd,CAR/L/1002983,Slice,Emamectin Benzoate,27-Aug-15,1.36,1.26,1.24,North of Papa,Grieg Seafood Shetland Ltd,The Deeps,436600,1138380,Shetland Islands,HU36603838,60.128334,-1.3430869
47599,KING1,Marine Harvest (Scotland) Ltd,CAR/L/1003887,Slice,Emamectin Benzoate,13-Aug-15,1.3,1.12,1.18,Kingairloch (Loch a Choire),Marine Harvest (Scotland) Ltd,Loch Linnhe,185200,752300,Highland,NM85205230,56.613188,-5.5020619
47552,FFMC04N,Marine Harvest (Scotland) Ltd,CAR/L/1020918,Slice,Emamectin Benzoate,04-Aug-15,1.92,1.74,1.84,Port na Moine Site 2 (North),Marine Harvest (Scotland) Ltd,Loch Craignish,180530,701470,Argyll and Bute,NM80530147,56.155243,-5.5354713
47593,BRO1,Wester Ross Fisheries Ltd,CAR/L/1001809,Slice,Emamectin Benzoate,22-Jul-15,1.26,1.22,1.52,"Corry, Loch Broom",Wester Ross Fisheries Ltd,Loch Broom,215638,890200,Highland,NH15649020,57.863126,-5.1093685
47586,ARDG1,Marine Harvest (Scotland) Ltd,CAR/L/1009970,Slice,Emamectin Benzoate,01-Jul-15,1.11,0.76,0.84,Ardgour (Linnhe),Marine Harvest (Scotland) Ltd,Loch Linnhe,201386,764579,Highland,NN01396458,56.730472,-5.2481955
47585,GORS1,Marine Harvest (Scotland) Ltd,CAR/L/1009968,Slice,Emamectin Benzoate,30-Jun-15,2.03,1.49,1.78,Gorsten,Marine Harvest (Scotland) Ltd,Loch Linnhe,206000,770600,Highland,NN06007060,56.786409,-5.1775323
47577,ELGN1,Marine Harvest (Scotland) Ltd,CAR/L/1078064,Slice,Emamectin Benzoate,29-May-15,1.04,1.14,0.83,Carradale (South),Marine Harvest (Scotland) Ltd,Kilbrannan Sound,181644,640861,Argyll and Bute,NR81664093,55.61283,-5.4684961
47576,ELGN1,Marine Harvest (Scotland) Ltd,CAR/L/1078064,Slice,Emamectin Benzoate,29-May-15,1.33,1.99,1.59,Carradale (South),Marine Harvest (Scotland) Ltd,Kilbrannan Sound,181644,640861,Argyll and Bute,NR81664093,55.61283,-5.4684961
46778,ELR1,Marine Harvest (Scotland) Ltd,CAR/L/1099410,Slice,Emamectin Benzoate,26-Feb-15,1.76,1.19,2.33,Eilean Raineach,Marine Harvest (Scotland) Ltd,East Loch Tarbert,119640,897490,Eilean Siar,NG19649749,57.878525,-6.7309593
46723,COLL3,Hjaltland Seafarms Ltd,CAR/L/1004055,Slice,Emamectin Benzoate,19-Jan-15,0.96,0.9,0.65,Collafirth Delting Site 3,Grieg Seafood Shetland Ltd,Colla Firth,445500,1170400,Shetland Islands,HU45507040,60.414909,-1.1757274
46642,CAG1,Marine Harvest (Scotland) Ltd,CAR/L/1009965,Slice,Emamectin Benzoate,03-Dec-14,0.78,1.03,1.07,Camus Glas,Marine Harvest (Scotland) Ltd,Loch Sunart,164550,758950,Highland,NM64555895,56.662881,-5.843829
46745,DUI1,Marine Harvest (Scotland) Ltd,CAR/L/1010433,Slice,Emamectin Benzoate,18-Nov-14,3.64,2.82,3.28,Duich,Marine Harvest (Scotland) Ltd,Loch Duich,189090,823350,Highland,NG89172320,57.250742,-5.4965442
47041,GCD1,Marine Harvest (Scotland) Ltd,CAR/L/1009972,Slice,Emamectin Benzoate,13-Nov-14,0.84,1.07,1.23,Glencripesdale,Marine Harvest (Scotland) Ltd,Loch Sunart,167600,760700,Highland,NM67606070,56.680093,-5.7957609
47133,INV1,Marine Harvest (Scotland) Ltd,CAR/L/1009162,Slice,Emamectin Benzoate,13-Nov-14,1.84,1.7,1.66,Invasion Bay,Marine Harvest (Scotland) Ltd,Loch Sunart,173310,761020,Highland,NM73316102,56.685765,-5.7030449
47330,SEA5,Marine Harvest (Scotland) Ltd,CAR/L/1009963,Slice,Emamectin Benzoate,10-Nov-14,3.19,2.66,2.07,Seaforth,Marine Harvest (Scotland) Ltd,Loch Seaforth,123080,902960,Eilean Siar,NB23080296,57.929638,-6.6795285
47202,MAOB1,Marine Harvest (Scotland) Ltd,CAR/L/1009643,Slice,Emamectin Benzoate,07-Nov-14,1.04,1.37,1.26,Maol Ban,Marine Harvest (Scotland) Ltd,Inner Sound,156400,830800,Highland,NG56403080,57.302574,-6.0458082
46583,BALM1,Marine Harvest (Scotland) Ltd,CAR/L/1002346,Slice,Emamectin Benzoate,07-Nov-14,1.07,1.17,1.14,"Sconser, Balmeanach Bay",Marine Harvest (Scotland) Ltd,Sound of Raasay,153100,834000,Highland,NG53103400,57.329473,-6.1036336
46816,FFMC04N,Marine Harvest (Scotland) Ltd,CAR/L/1020918,Slice,Emamectin Benzoate,03-Sep-14,2.5,1.37,1.54,Port na Moine Site 2 (North),Marine Harvest (Scotland) Ltd,Loch Craignish,180530,701470,Argyll and Bute,NM80530147,56.155243,-5.5354713
47257,OLNA1,Hjaltland Seafarms Ltd,CAR/L/1004042,Slice,Emamectin Benzoate,24-Apr-14,1.38,0.89,0.88,Olnafirth South (Site 1),Grieg Seafood Shetland Ltd,Olnafirth,437400,1164300,Shetland Islands,HU37406430,60.360973,-1.3239129
46909,FFMC33,Kames Fish Farming Ltd,CAR/L/1000801,Slice,Emamectin Benzoate,17-Feb-14,2.54,2.42,2.42,Shuna Castle Bay,Kames Fish Farming Ltd,Sound of Jura,177407,709600,Argyll and Bute,NM77410960,56.226697,-5.5924132
47367,SHNEM1,Marine Harvest (Scotland) Ltd,CAR/L/1001802,Slice,Emamectin Benzoate,24-Jan-14,1.44,1.6,1.69,Mid Loch Shell / Pairc - West (A & B cage groups),Marine Harvest (Scotland) Ltd,Loch Shell,134700,910300,Eilean Siar,NB34701030,58.002428,-6.4921729
47372,SHNEM2,Marine Harvest (Scotland) Ltd,CAR/L/1004218,Slice,Emamectin Benzoate,23-Jan-14,1.79,1.81,1.43,Mid Loch Shell / Pairc - East (C & D cage groups),Marine Harvest (Scotland) Ltd,Loch Shell,135400,910200,Eilean Siar,NB35401020,58.001949,-6.4802541
47373,SHNEM2,Marine Harvest (Scotland) Ltd,CAR/L/1004218,Slice,Emamectin Benzoate,23-Jan-14,2.84,2.18,2.47,Mid Loch Shell / Pairc - East (C & D cage groups),Marine Harvest (Scotland) Ltd,Loch Shell,135400,910200,Eilean Siar,NB35401020,58.001949,-6.4802541
47265,PEC3,Marine Harvest (Scotland) Ltd,CAR/L/1004078,Slice,Emamectin Benzoate,20-Jan-14,1.15,1.17,1.06,Sgeir Bhuidhe,Marine Harvest (Scotland) Ltd,Loch Erisort,140200,922230,Eilean Siar,NB40202230,58.113137,-6.4126546
47635,FFMC26,The Scottish Salmon Company Ltd,CAR/L/1015868,Calicide,Teflubenzuron,15-Jan-14,19,13,12,Tuath (Rubha na Gall),The Scottish Salmon Company Ltd,Loch Tuath,141900,741300,Argyll and Bute,NM41904130,56.492801,-6.1947909
47000,FFMC71,Scottish Sea Farms Ltd,CAR/L/1000844,Slice,Emamectin Benzoate,22-Nov-13,1,0.96,0.91,Bloody Bay,Scottish Sea Farms Ltd,Sound of Mull,149200,757700,Argyll and Bute,NM49205770,56.643706,-6.0924026
47647,WBEL3,Scottish Sea Farms Ltd,CAR/L/1003113,Calicide,Teflubenzuron,18-Oct-13,85,180,184,Loura Voe (Site 3),Scottish Sea Farms Ltd,Dury Voe,447350,1161800,Shetland Islands,HU47356180,60.337491,-1.14417
46725,CROO1,Scottish Sea Farms Ltd,CAR/L/1095979,Slice,Emamectin Benzoate,30-Jul-13,0.8,0.8,0.8,Crooie (Site 1),Scottish Sea Farms Ltd,Clift Sound,439740,1133950,Shetland Islands,HU39743395,60.088269,-1.2874382
47637,HGEO3,Scottish Sea Farms Ltd,CAR/L/1004210,Calicide,Teflubenzuron,11-Jun-13,209,345,200,Holms Geo (Site 3),Scottish Sea Farms Ltd,Clift Sound,438890,1131130,Shetland Islands,HU38893113,60.063031,-1.3032504
47646,TEI1,Scottish Sea Farms Ltd,CAR/L/1016872,Calicide,Teflubenzuron,11-Jun-13,648,890,772,Teisti Geo,Scottish Sea Farms Ltd,Clift Sound,438470,1129410,Shetland Islands,HU38472941,60.047628,-1.3111157
46846,FFMC20,Scottish Sea Farms Ltd,CAR/L/1003492,Slice,Emamectin Benzoate,10-Jun-13,1.19,0.86,1.07,Creran B,Scottish Sea Farms Ltd,Loch Creran,193800,742200,Argyll and Bute,NM93804220,56.52647,-5.3541558
46536,ARDG1,Marine Harvest (Scotland) Ltd,CAR/L/1009970,Slice,Emamectin Benzoate,22-May-13,2.76,1.73,1.57,Ardgour (Linnhe),Marine Harvest (Scotland) Ltd,Loch Linnhe,201386,764579,Highland,NN01396458,56.730472,-5.2481955
47064,GORS1,Marine Harvest (Scotland) Ltd,CAR/L/1009968,Slice,Emamectin Benzoate,21-May-13,2.64,2.32,3.44,Gorsten,Marine Harvest (Scotland) Ltd,Loch Linnhe,206000,770600,Highland,NN06007060,56.786409,-5.1775323
47174,LAXV2,Hjaltland Seafarms Ltd,CAR/L/1015765,Slice,Emamectin Benzoate,09-Apr-13,2.07,1.97,1.88,Laxfirth Voe East (Site 2),Grieg Seafood Shetland Ltd,Lax Firth,444900,1148100,Shetland Islands,HU44904810,60.214774,-1.1915808
47436,TAI1,Hjaltland Seafarms Ltd,CAR/L/1004035,Slice,Emamectin Benzoate,09-Apr-13,1.23,3.05,0.91,Taing of Railsborough,Grieg Seafood Shetland Ltd,Cat Firth,445130,1151280,Shetland Islands,HU45135128,60.243298,-1.1867242
47640,KAN2,Wester Ross Fisheries Ltd,CAR/L/1003889,Calicide,Teflubenzuron,13-Mar-13,72,159,103,Ardmair (Isle Martin),Wester Ross Fisheries Ltd,Loch Broom,209900,899200,Highland,NH09909920,57.941432,-5.2131571
47641,KAN2,Wester Ross Fisheries Ltd,CAR/L/1003889,Calicide,Teflubenzuron,13-Mar-13,119,93,76,Ardmair (Isle Martin),Wester Ross Fisheries Ltd,Loch Broom,209900,899200,Highland,NH09909920,57.941432,-5.2131571
47418,STOU1,Scottish Sea Farms Ltd,CAR/L/1004072,Slice,Emamectin Benzoate,07-Mar-13,0.82,0.99,0.75,Stoull (Nevis B),Scottish Sea Farms Ltd,Loch Nevis,174800,795300,Highland,NM74809530,56.993797,-5.7090797
47242,NOS1,Marine Harvest (Scotland) Ltd,CAR/L/1009974,Slice,Emamectin Benzoate,12-Feb-13,1.77,2.22,3.31,Noster,Marine Harvest (Scotland) Ltd,Loch Seaforth,122840,903480,Eilean Siar,NB22840348,57.934144,-6.6841748
47329,SEA5,Marine Harvest (Scotland) Ltd,CAR/L/1009963,Slice,Emamectin Benzoate,11-Feb-13,1.49,1.88,2.37,Seaforth,Marine Harvest (Scotland) Ltd,Loch Seaforth,123080,902960,Eilean Siar,NB23080296,57.929638,-6.6795285
47204,MBM1,Marine Harvest (Scotland) Ltd,CAR/L/1028518,Slice,Emamectin Benzoate,29-Jan-13,1.14,1.05,0.91,Marulaig Bay,Marine Harvest (Scotland) Ltd,Loch Boisdale,82850,816460,Eilean Siar,NF82851646,57.129198,-7.2434172
47645,SLO1,Scottish Sea Farms Ltd,CAR/L/1004988,Calicide,Teflubenzuron,22-Jan-13,124,58,121,Slocka (Site C),MJM Salmon Ltd,Ronas Voe,428500,1182700,Shetland Islands,HU28508270,60.52689,-1.4826054
47631,CALD1,Loch Duart Ltd,CAR/L/1003895,Calicide,Teflubenzuron,31-Dec-12,21,73,145,Calbha Site 5 (Calbha Beag),Loch Duart Ltd,Eddrachillis Bay,215640,937160,Highland,NC15643716,58.284277,-5.1462376
47628,BAD12,Loch Duart Ltd,CAR/L/1001808,Calicide,Teflubenzuron,07-Dec-12,1193,677,1134,Badcall Site 11 (Eilean Riabhach),Loch Duart Ltd,Eddrachillis Bay,214830,940614,Highland,NC14834061,58.314875,-5.1627912
47634,DRO1,Loch Duart Ltd,CAR/L/1001832,Calicide,Teflubenzuron,04-Dec-12,105,213,2792,Droighniche,Loch Duart Ltd,Eddrachillis Bay,216346,934328,Highland,NC16353433,58.259195,-5.1319055
47632,DHR1,Loch Duart Ltd,CAR/L/1001826,Calicide,Teflubenzuron,04-Dec-12,192,192,73,Drumbeg (Loch Dhrombaig),Loch Duart Ltd,Eddrachillis Bay,212000,933600,Highland,NC12003360,58.250812,-5.2053255
47346,SETW1,Hjaltland Seafarms Ltd,CAR/L/1005092,Slice,Emamectin Benzoate,26-Nov-12,1.89,1.72,2.04,Setterness South,Grieg Seafood Shetland Ltd,Off Lunnaness,447420,1170680,Shetland Islands,HU47427068,60.417203,-1.1408063
46641,CAG1,Marine Harvest (Scotland) Ltd,CAR/L/1009965,Slice,Emamectin Benzoate,20-Nov-12,1.5,1.49,1.7,Camus Glas,Marine Harvest (Scotland) Ltd,Loch Sunart,164550,758950,Highland,NM64555895,56.662881,-5.843829
47040,GCD1,Marine Harvest (Scotland) Ltd,CAR/L/1009972,Slice,Emamectin Benzoate,24-Oct-12,1.82,1.51,1.41,Glencripesdale,Marine Harvest (Scotland) Ltd,Loch Sunart,167600,760700,Highland,NM67606070,56.680093,-5.7957609
46640,CAG1,Marine Harvest (Scotland) Ltd,CAR/L/1009965,Slice,Emamectin Benzoate,21-Jun-12,2.38,2.11,2.61,Camus Glas,Marine Harvest (Scotland) Ltd,Loch Sunart,164550,758950,Highland,NM64555895,56.662881,-5.843829
47039,GCD1,Marine Harvest (Scotland) Ltd,CAR/L/1009972,Slice,Emamectin Benzoate,20-Jun-12,2.5,2.77,2.07,Glencripesdale,Marine Harvest (Scotland) Ltd,Loch Sunart,167600,760700,Highland,NM67606070,56.680093,-5.7957609
47256,OLNA1,Hjaltland Seafarms Ltd,CAR/L/1004042,Slice,Emamectin Benzoate,12-Jun-12,1.35,1.45,1.62,Olnafirth South (Site 1),Grieg Seafood Shetland Ltd,Olnafirth,437400,1164300,Shetland Islands,HU37406430,60.360973,-1.3239129
46730,CROSS1,Westside Salmon Company,CAR/L/1003878,Slice,Emamectin Benzoate,11-Jun-12,2.39,3.06,2.69,Brindister Crossroads,Grieg Seafood Shetland Ltd,Clousta Voe,429500,1158500,Shetland Islands,HU29505850,60.30955,-1.4679466
