Residues ID,SEPA Site,Submitted By,Licence Active at Report,Treatment Name,Active Ingredient,Sample Date,100 m Replicate 1 mg per kg,100 m Replicate 2 mg per kg,100 m Replicate 3 mg per kg,Site Name,Licence Holder,Receiving Water,Easting,Northing,Local Authority,National Grid Reference,Lat ,Long
46744,DUI1,Marine Harvest (Scotland) Ltd,CAR/L/1010433,Slice,Emamectin Benzoate,08-May-12,4.43,3.33,4.21,Duich,Marine Harvest (Scotland) Ltd,Loch Duich,189090,823350,Highland,NG89172320,57.250742,-5.4965442
47200,MAOB1,Marine Harvest (Scotland) Ltd,CAR/L/1009643,Slice,Emamectin Benzoate,05-Apr-12,1.63,1.22,1.13,Maol Ban,Marine Harvest (Scotland) Ltd,Inner Sound,156400,830800,Highland,NG56403080,57.302574,-6.0458082
46786,ERI3,Marine Harvest (Scotland) Ltd,CAR/L/1004085,Slice,Emamectin Benzoate,28-Mar-12,1.58,1.2,1.84,"Erisort, North Shore West",Marine Harvest (Scotland) Ltd,Loch Erisort,139089,922756,Eilean Siar,NB39092276,58.116604,-6.4319483
46497,AAC3,Scottish Sea Farms Ltd,CAR/L/1004062,Slice,Emamectin Benzoate,02-Mar-12,0.84,0.68,2.8,Allt a Chois (Kishorn North Shore),Scottish Sea Farms Ltd,Loch Kishorn,179250,837950,Highland,NG79253795,57.378288,-5.6737951
46482,FFMC55,Lakeland Marine Farm Ltd,CAR/L/1000810,Slice,Emamectin Benzoate,07-Feb-12,0.8,0.7,1,Port na Cro,Marine Harvest (Scotland) Ltd,Shuna Sound,176100,709400,Argyll and Bute,NM76100940,56.224289,-5.6133299
47371,SHNEM2,Marine Harvest (Scotland) Ltd,CAR/L/1004218,Slice,Emamectin Benzoate,02-Feb-12,1.61,1.92,2.12,Mid Loch Shell / Pairc - East (C & D cage groups),Marine Harvest (Scotland) Ltd,Loch Shell,135400,910200,Eilean Siar,NB35401020,58.001949,-6.4802541
47366,SHNEM1,Marine Harvest (Scotland) Ltd,CAR/L/1001802,Slice,Emamectin Benzoate,01-Feb-12,1.18,1.78,0.94,Mid Loch Shell / Pairc - West (A & B cage groups),Marine Harvest (Scotland) Ltd,Loch Shell,134700,910300,Eilean Siar,NB34701030,58.002428,-6.4921729
46535,ARDG1,Marine Harvest (Scotland) Ltd,CAR/L/1009970,Slice,Emamectin Benzoate,16-Jan-12,0.74,0.91,0.67,Ardgour (Linnhe),Marine Harvest (Scotland) Ltd,Loch Linnhe,201386,764579,Highland,NN01396458,56.730472,-5.2481955
47644,SHNEM1,Marine Harvest (Scotland) Ltd,CAR/L/1001802,Calicide,Teflubenzuron,10-Jan-12,290,2490,380,Mid Loch Shell / Pairc - West (A & B cage groups),Marine Harvest (Scotland) Ltd,Loch Shell,134700,910300,Eilean Siar,NB34701030,58.002428,-6.4921729
47161,KING1,Marine Harvest (Scotland) Ltd,CAR/L/1003887,Slice,Emamectin Benzoate,14-Jul-11,ND,3.13,3.16,Kingairloch (Loch a Choire),Marine Harvest (Scotland) Ltd,Loch Linnhe,185200,752300,Highland,NM85205230,56.613188,-5.5020619
46534,ARDG1,Marine Harvest (Scotland) Ltd,CAR/L/1009970,Slice,Emamectin Benzoate,29-Jun-11,1.82,1.78,1.24,Ardgour (Linnhe),Marine Harvest (Scotland) Ltd,Loch Linnhe,201386,764579,Highland,NN01396458,56.730472,-5.2481955
47381,SKIO1,Marine Harvest (Scotland) Ltd,CAR/L/1001968,Slice,Emamectin Benzoate,31-May-11,1.96,1.99,2.39,Skipport Outer (Ornish),Marine Harvest (Scotland) Ltd,Loch Skipport,85200,838500,Eilean Siar,NF85203850,57.327974,-7.2326808
46889,FFMC27,Scottish Sea Farms Ltd,CAR/L/1009031,Slice,Emamectin Benzoate,03-May-11,1.68,1.27,1.32,Dunstaffnage,Scottish Sea Farms Ltd,Firth of Lorn,186620,733980,Argyll and Bute,NM86623398,56.449554,-5.4639244
47299,RONB1,Scottish Sea Farms Ltd,CAR/L/1001790,Slice,Emamectin Benzoate,28-Apr-11,2.51,3.01,1.19,Crying Taing (Site B),Scottish Sea Farms Ltd,Ronas Voe,430900,1180400,Shetland Islands,HU30908040,60.506064,-1.4392404
47295,RONA1,Scottish Sea Farms Ltd,CAR/L/1003106,Slice,Emamectin Benzoate,28-Apr-11,0.96,0.86,0.99,Pobie Sukka (Site A),Scottish Sea Farms Ltd,Ronas Voe,430990,1180740,Shetland Islands,HU30998074,60.50911,-1.4375491
46836,FFMC18,Scottish Sea Farms Ltd,CAR/L/1009032,Slice,Emamectin Benzoate,15-Apr-11,1.13,1.06,1.21,Shuna,Scottish Sea Farms Ltd,Loch Linnhe,192500,749680,Argyll and Bute,NM92504968,56.59298,-5.3812352
47638,KAN2,Wester Ross Fisheries Ltd,CAR/L/1003889,Calicide,Teflubenzuron,06-Apr-11,440,20,30,Ardmair (Isle Martin),Wester Ross Fisheries Ltd,Loch Broom,209900,899200,Highland,NH09909920,57.941432,-5.2131571
46949,FFMC43,The Scottish Salmon Company Ltd,CAR/L/1010775,Slice,Emamectin Benzoate,30-Mar-11,1.67,1.72,1.36,Ardcastle,The Scottish Salmon Company Ltd,Loch Fyne,195590,692410,Argyll and Bute,NR95599241,56.080671,-5.2865012
46458,FFMC47,The Scottish Salmon Company Ltd,CAR/L/1010817,Slice,Emamectin Benzoate,30-Mar-11,1.35,1.55,1.17,Ardgaddan,The Scottish Salmon Company Ltd,Loch Fyne,190930,680990,Argyll and Bute,NR90938099,55.976228,-5.3523468
47063,GORS1,Marine Harvest (Scotland) Ltd,CAR/L/1009968,Slice,Emamectin Benzoate,30-Mar-11,0.83,1.41,1.76,Gorsten,Marine Harvest (Scotland) Ltd,Loch Linnhe,206000,770600,Highland,NN06007060,56.786409,-5.1775323
46842,FFMC19,Scottish Sea Farms Ltd,CAR/L/1000843,Slice,Emamectin Benzoate,29-Mar-11,1.3,1.83,1.61,Creran A,Scottish Sea Farms Ltd,Loch Creran,193070,741820,Argyll and Bute,NM93074182,56.522741,-5.365699
47025,FOI1,Loch Duart Ltd,CAR/L/1003892,Slice,Emamectin Benzoate,18-Jan-11,0.91,1.03,0.87,Foindle East (Laxford Site 1),Loch Duart Ltd,Loch Laxford,219900,949200,Highland,NC19904920,58.394022,-5.083099
46827,FFMC14,The Scottish Salmon Company Ltd,CAR/L/1015860,Slice,Emamectin Benzoate,18-Jan-11,1.14,0.93,1.5,Meall Mhor,The Scottish Salmon Company Ltd,Loch Fyne,186500,674500,Argyll and Bute,NR86507450,55.916072,-5.4180684
46467,FFMC51,Lakeland Marine Farm Ltd,CAR/L/1021927,Slice,Emamectin Benzoate,25-Nov-10,0.8,0.9,1,Ardifuir,Marine Harvest (Scotland) Ltd,Loch Craignish,178400,697600,Argyll and Bute,NR78409760,56.119555,-5.5664755
47239,NOS1,Marine Harvest (Scotland) Ltd,CAR/L/1009974,Slice,Emamectin Benzoate,29-Jul-10,2.29,1.82,2.24,Noster,Marine Harvest (Scotland) Ltd,Loch Seaforth,122840,903480,Eilean Siar,NB22840348,57.934144,-6.6841748
47231,NNES2,Scottish Sea Farms Ltd,CAR/L/1004209,Slice,Emamectin Benzoate,28-Jul-10,1.23,3.71,2.74,North Nesting Site 2,Scottish Sea Farms Ltd,Dury Voe,446100,1162380,Shetland Islands,HU46106238,60.342842,-1.1666756
46639,CAG1,Marine Harvest (Scotland) Ltd,CAR/L/1009965,Slice,Emamectin Benzoate,15-Jul-10,2.37,2.18,2.2,Camus Glas,Marine Harvest (Scotland) Ltd,Loch Sunart,164550,758950,Highland,NM64555895,56.662881,-5.843829
47038,GCD1,Marine Harvest (Scotland) Ltd,CAR/L/1009972,Slice,Emamectin Benzoate,14-Jul-10,3.07,1.2,2.49,Glencripesdale,Marine Harvest (Scotland) Ltd,Loch Sunart,167600,760700,Highland,NM67606070,56.680093,-5.7957609
47129,INV1,Marine Harvest (Scotland) Ltd,CAR/L/1009162,Slice,Emamectin Benzoate,13-Jul-10,3.04,1.8,2.14,Invasion Bay,Marine Harvest (Scotland) Ltd,Loch Sunart,173310,761020,Highland,NM73316102,56.685765,-5.7030449
46558,ARDT1,Marine Harvest (Scotland) Ltd,CAR/L/1001806,Slice,Emamectin Benzoate,20-Apr-10,1.48,1.07,0.96,Ardintoul,Marine Harvest (Scotland) Ltd,Loch Alsh,182410,824200,Highland,NG82412420,57.256542,-5.6092323
46806,FFMC02,Lighthouse Caledonia Ltd,CAR/L/1015850,Slice,Emamectin Benzoate,22-Mar-10,1.58,1.09,0.82,St Molios,The Scottish Salmon Company Ltd,Lamlash Bay,204500,629200,North Ayrshire,NS04502920,55.5173,-5.0981572
46785,ERI3,Marine Harvest (Scotland) Ltd,CAR/L/1004085,Slice,Emamectin Benzoate,08-Mar-10,1.4,1.62,1.14,"Erisort, North Shore West",Marine Harvest (Scotland) Ltd,Loch Erisort,139089,922756,Eilean Siar,NB39092276,58.116604,-6.4319483
47370,SHNEM2,Marine Harvest (Scotland) Ltd,CAR/L/1004218,Slice,Emamectin Benzoate,05-Mar-10,2.05,2.14,2.49,Mid Loch Shell / Pairc - East (C & D cage groups),Marine Harvest (Scotland) Ltd,Loch Shell,135400,910200,Eilean Siar,NB35401020,58.001949,-6.4802541
47365,SHNEM1,Marine Harvest (Scotland) Ltd,CAR/L/1001802,Slice,Emamectin Benzoate,05-Mar-10,1.45,1.11,1.26,Mid Loch Shell / Pairc - West (A & B cage groups),Marine Harvest (Scotland) Ltd,Loch Shell,134700,910300,Eilean Siar,NB34701030,58.002428,-6.4921729
47454,TOR1,Loch Duart Ltd,CAR/L/1001827,Slice,Emamectin Benzoate,08-Feb-10,1.53,1.77,1.62,Torgawn,Loch Duart Ltd,Loch a Chairn Bhain,220300,933200,Highland,NC20303320,58.250692,-5.0638166
47283,PORL1,Marine Harvest (Scotland) Ltd,CAR/L/1002889,Slice,Emamectin Benzoate,02-Feb-10,2.04,1.66,2.82,Portnalong,Marine Harvest (Scotland) Ltd,Loch Bracadale,134920,835500,Highland,NG34923550,57.33271,-6.4063044
46659,CAL1,Marine Harvest (Scotland) Ltd,CAR/L/1010002,Slice,Emamectin Benzoate,06-Oct-09,1.01,1.2,1,Camas an Leim (Torridon),Marine Harvest (Scotland) Ltd,Loch Torridon,182379,855906,Highland,NG82385591,57.540798,-5.6378251
46533,ARDG1,Marine Harvest (Scotland) Ltd,CAR/L/1009970,Slice,Emamectin Benzoate,01-Sep-09,1.25,1.28,1.57,Ardgour (Linnhe),Marine Harvest (Scotland) Ltd,Loch Linnhe,201386,764579,Highland,NN01396458,56.730472,-5.2481955
47062,GORS1,Marine Harvest (Scotland) Ltd,CAR/L/1009968,Slice,Emamectin Benzoate,27-Aug-09,2.58,2.33,2.35,Gorsten,Marine Harvest (Scotland) Ltd,Loch Linnhe,206000,770600,Highland,NN06007060,56.786409,-5.1775323
46835,FFMC18,Scottish Sea Farms Ltd,WPC/W/22833,Slice,Emamectin Benzoate,13-Aug-09,1.39,2.2,1.91,Shuna,Scottish Sea Farms Ltd,Loch Linnhe,192500,749680,Argyll and Bute,NM92504968,56.59298,-5.3812352
46845,FFMC20,Scottish Sea Farms Ltd,WPC/W/22899,Slice,Emamectin Benzoate,23-Jul-09,1.54,2.12,3.09,Creran B,Scottish Sea Farms Ltd,Loch Creran,193800,742200,Argyll and Bute,NM93804220,56.52647,-5.3541558
47160,KING1,Marine Harvest (Scotland) Ltd,CAR/L/1003887,Slice,Emamectin Benzoate,02-Jul-09,3.12,2.63,1.66,Kingairloch (Loch a Choire),Marine Harvest (Scotland) Ltd,Loch Linnhe,185200,752300,Highland,NM85205230,56.613188,-5.5020619
47238,NOS1,Marine Harvest (Scotland) Ltd,CAR/L/1009974,Slice,Emamectin Benzoate,23-Jun-09,1.68,1.8,1.45,Noster,Marine Harvest (Scotland) Ltd,Loch Seaforth,122840,903480,Eilean Siar,NB22840348,57.934144,-6.6841748
47326,SEA5,Marine Harvest (Scotland) Ltd,CAR/L/1009963,Slice,Emamectin Benzoate,23-Jun-09,1.84,1.68,1.49,Seaforth,Marine Harvest (Scotland) Ltd,Loch Seaforth,123080,902960,Eilean Siar,NB23080296,57.929638,-6.6795285
47061,GORS1,Marine Harvest (Scotland) Ltd,CAR/L/1009968,Slice,Emamectin Benzoate,14-May-09,ND,1.85,3.07,Gorsten,Marine Harvest (Scotland) Ltd,Loch Linnhe,206000,770600,Highland,NN06007060,56.786409,-5.1775323
46859,FFMC22,Scottish Sea Farms Ltd,WPC/W/30550,Slice,Emamectin Benzoate,24-Feb-09,16,1.13,1.5,Spelve B (Dalnaha),Scottish Sea Farms Ltd,Loch Spelve,168900,726900,Argyll and Bute,NM68902690,56.377735,-5.7445339
46805,FFMC02,Lighthouse Caledonia Ltd,WPC/W/22799,Slice,Emamectin Benzoate,14-Oct-08,4.64,4.64,4.64,St Molios,The Scottish Salmon Company Ltd,Lamlash Bay,204500,629200,North Ayrshire,NS04502920,55.5173,-5.0981572
46637,CAG1,Marine Harvest (Scotland) Ltd,CAR/L/1009965,Slice,Emamectin Benzoate,08-Oct-08,1.49,1.43,1.36,Camus Glas,Marine Harvest (Scotland) Ltd,Loch Sunart,164550,758950,Highland,NM64555895,56.662881,-5.843829
47037,GCD1,Marine Harvest (Scotland) Ltd,CAR/L/1009972,Slice,Emamectin Benzoate,08-Oct-08,1.44,1.22,1.38,Glencripesdale,Marine Harvest (Scotland) Ltd,Loch Sunart,167600,760700,Highland,NM67606070,56.680093,-5.7957609
46867,FFMC23,Scottish Sea Farms Ltd,CAR/L/1003493,Slice,Emamectin Benzoate,08-Sep-08,1.81,1.98,1.67,Fishnish A,Scottish Sea Farms Ltd,Sound of Mull,163910,742540,Argyll and Bute,NM63914254,56.515466,-5.8392824
46963,FFMC57,Scottish Sea Farms Ltd,CAR/L/1003494,Slice,Emamectin Benzoate,08-Sep-08,1.68,1.76,1.24,Fishnish B,Scottish Sea Farms Ltd,Sound of Mull,165200,742750,Argyll and Bute,NM65204275,56.517994,-5.8185556
46742,DUI1,Marine Harvest (Scotland) Ltd,CAR/L/1010433,Slice,Emamectin Benzoate,03-Sep-08,2.2,2.9,2.8,Duich,Marine Harvest (Scotland) Ltd,Loch Duich,189090,823350,Highland,NG89172320,57.250742,-5.4965442
46743,DUI1,Marine Harvest (Scotland) Ltd,CAR/L/1010433,Slice,Emamectin Benzoate,03-Sep-08,2.3,2,1.8,Duich,Marine Harvest (Scotland) Ltd,Loch Duich,189090,823350,Highland,NG89172320,57.250742,-5.4965442
47345,SETW1,Hjaltland Seafarms Ltd,CAR/L/1005092,Slice,Emamectin Benzoate,30-May-08,1.11,1.46,0.86,Setterness South,Grieg Seafood Shetland Ltd,Off Lunnaness,447420,1170680,Shetland Islands,HU47427068,60.417203,-1.1408063
47081,GREI1,Lighthouse Caledonia Ltd,CAR/L/1001793,Slice,Emamectin Benzoate,22-May-08,1.3,1.35,0.92,Greinham,The Scottish Salmon Company Ltd,Loch Roag,120100,935700,Eilean Siar,NB20103570,58.220828,-6.7686764
47164,KYL1,Lighthouse Caledonia Ltd,CAR/L/1001791,Slice,Emamectin Benzoate,22-May-08,1.12,1.15,2.08,Kyles Vuia East,The Scottish Salmon Company Ltd,Loch Roag,113800,935300,Eilean Siar,NB13803530,58.213205,-6.8750389
47282,PORL1,Marine Harvest (Scotland) Ltd,CAR/L/1002889,Slice,Emamectin Benzoate,21-Apr-08,4.76,4.82,5.04,Portnalong,Marine Harvest (Scotland) Ltd,Loch Bracadale,134920,835500,Highland,NG34923550,57.33271,-6.4063044
46556,ARDT1,Marine Harvest (Scotland) Ltd,CAR/L/1001806,Slice,Emamectin Benzoate,26-Mar-08,1.64,1.71,1.45,Ardintoul,Marine Harvest (Scotland) Ltd,Loch Alsh,182410,824200,Highland,NG82412420,57.256542,-5.6092323
46557,ARDT1,Marine Harvest (Scotland) Ltd,CAR/L/1001806,Slice,Emamectin Benzoate,26-Mar-08,1.64,1.71,1.45,Ardintoul,Marine Harvest (Scotland) Ltd,Loch Alsh,182410,824200,Highland,NG82412420,57.256542,-5.6092323
46996,FFMC71,Scottish Sea Farms Ltd,WPC/W/30295,Slice,Emamectin Benzoate,10-Dec-07,2.45,2.79,3.68,Bloody Bay,Scottish Sea Farms Ltd,Sound of Mull,149200,757700,Argyll and Bute,NM49205770,56.643706,-6.0924026
47001,FFMC72,Pan Fish Scotland Ltd,CAR/L/1000789,Slice,Emamectin Benzoate,14-Aug-07,0.8,1.4,0.8,East Tarbert Bay,The Scottish Salmon Company Ltd,Sound of Gigha,166780,653220,Argyll and Bute,NR66785322,55.716124,-5.7146702
46509,ACH1,Scottish Sea Farms Ltd,CAR/L/1015867,Slice,Emamectin Benzoate,24-Jul-07,7.23,4.39,5.11,Achintraid (Kishorn Site 1),Scottish Sea Farms Ltd,Loch Kishorn,182466,838551,Highland,NG82473855,57.385217,-5.6208844
46481,FFMC55,Lakeland Marine Farm Ltd,WPC/W/22886,Slice,Emamectin Benzoate,18-Jul-07,2.97,3.89,3.27,Port na Cro,Marine Harvest (Scotland) Ltd,Shuna Sound,176100,709400,Argyll and Bute,NM76100940,56.224289,-5.6133299
46814,FFMC04N,Lakeland Marine Farm Ltd,WPC/W/22888,Slice,Emamectin Benzoate,27-Jun-07,ND,ND,3.59,Port na Moine Site 2 (North),Marine Harvest (Scotland) Ltd,Loch Craignish,180530,701470,Argyll and Bute,NM80530147,56.155243,-5.5354713
47316,SCOT1,Marine Harvest (Scotland) Ltd,WPC/N/62387,Slice,Emamectin Benzoate,31-May-07,2.12,ND,2.16,Scotasay,Marine Harvest (Scotland) Ltd,East Loch Tarbert,119368,897545,Eilean Siar,NG19379754,57.878803,-6.735555
47060,GORS1,Marine Harvest (Scotland) Ltd,CAR/L/1009968,Slice,Emamectin Benzoate,08-May-07,2.99,2.75,3.07,Gorsten,Marine Harvest (Scotland) Ltd,Loch Linnhe,206000,770600,Highland,NN06007060,56.786409,-5.1775323
47134,IOEWE2,Marine Harvest (Scotland) Ltd,WPC/N/70338,Slice,Emamectin Benzoate,13-Apr-07,2.46,2.61,1.59,Isle of Ewe,Marine Harvest (Scotland) Ltd,Loch Ewe,183600,888500,Highland,NG83608850,57.833525,-5.646753
47059,GORS1,Marine Harvest (Scotland) Ltd,CAR/L/1009968,Slice,Emamectin Benzoate,21-Mar-07,4.2,3.87,8.82,Gorsten,Marine Harvest (Scotland) Ltd,Loch Linnhe,206000,770600,Highland,NN06007060,56.786409,-5.1775323
47044,GEOB1,Marine Harvest (Scotland) Ltd,WPC/N/61999,Slice,Emamectin Benzoate,07-Mar-07,ND,1.58,1.74,Geo Beag,Marine Harvest (Scotland) Ltd,West Loch Tarbet,111300,900800,Eilean Siar,NB11300080,57.902838,-6.8750868
47415,STOU1,Scottish Sea Farms Ltd,WPC/N/62318,Slice,Emamectin Benzoate,10-Oct-06,ND,2.76,ND,Stoull (Nevis B),Scottish Sea Farms Ltd,Loch Nevis,174800,795300,Highland,NM74809530,56.993797,-5.7090797
47021,FIU1,Scottish Sea Farms Ltd,WPC/N/62116,Slice,Emamectin Benzoate,09-Jun-06,1.42,1.68,1.55,Fiunary,Scottish Sea Farms Ltd,Sound of Mull,159270,747650,Highland,NM59274765,56.558916,-5.9192441
46865,FFMC23,Scottish Sea Farms Ltd,WPC/W/22900,Slice,Emamectin Benzoate,05-Jun-06,1.69,2.47,1.43,Fishnish A,Scottish Sea Farms Ltd,Sound of Mull,163910,742540,Argyll and Bute,NM63914254,56.515466,-5.8392824
